address,token_address,token_symbol,token_decimals,token_amount,rewards_address,rewards_symbol,rewards_decimals,rewards_amount,state
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,813482854794668535176,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,338169272075260316259,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,48154587882136825589,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x03C65618d9Ca830d9099B66bA6bd52A3B0344f82,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,158427694177552621388,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x079f4C9456109E34bdD8153086d0b0372d196508,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1000000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x0Eb21ed8543789C79bEd81D85b13eA31E7aC805b,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,39480822236713040590,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x0fa36923d4dD8139673905DCddbC747Ad95EF353,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1244608189632602812657,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x124C5E21A073Fb4694308fBDF72aF362451EAe12,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,23932837683484909166,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x15579f74c1B93B573C0a4d865011EC68f909FD02,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,46365762508513761012,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x18F23C3b96918518235136920F39Cb833B113F00,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,2230950032161280998,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,56371534620361242902,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1029084119701413959446,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x1e57d972AE6Bc70c101996f0d398BB683Ee052bf,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,40517256216970129777,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x2024F13B2Fdb7957FEb422Af38eDd5218e79cE05,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,5638276883229928680820,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x2067BEd542762D26E2755Ce7d8776728F3429f48,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,50000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x20A1A940FA696513bF938FaC130F5272F38c0DC8,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,34075447748285270452,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,108197228395219806470,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x2346B18e56010272035e8eA7CF4C757Fc4E3f46a,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,196517451852814365415,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x27E5E6074e259d98d6468454C32673E0e6f354ce,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,39181310388442414364,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,866503962147147241546,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x2D81713c58452c92C19b2917e1C770eEcF53Fe41,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1052936946549092003887,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x3170606aDd67Ee893d23E4aEe79c1A4997ce635a,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,19274249507796670712,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x3211B0Ad2947310C521A1617c09aFD10D262a4b4,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3096923566728885615279,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,250604541227549467275,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1581786194522341555583,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x4188c45B8dfC8998Ceee2398e746deC2797B0961,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,4210999963908927686116,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x420AE7560821A43826a2ead522Ac3fa819Ce9299,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,418765521111695525104,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x4281579D99d855F2430C95a13720e53a0fCC0549,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,4750000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,206094200881877584213,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x42b23bB838525D458F2B8109219eF45d229067B7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,333990173983488611805,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1023920335183051336641,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1801951004715471299231,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x50806F1E52f4C482CC96d03145Abf731074FA33F,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3990277466436440498433,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x50bE72F4DAc794D00f84786dc414F0107F6F972B,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,201621659839801219437,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,103400709670227821465,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x52876dAFDc67238390477Bb2403BdC8021944ddc,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1705842261266394220545,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x542256Ef33279C5545AA71f4b3B6298990f30Ffc,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,46274500000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x56FcfEb7D7Afa46C9aA58F08a04Fbb11Eb27808C,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,286386653707397656251,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x59AB3cb9CA8B7910Ba2D137A138B69bbF85bDf28,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,340801621768658161447,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,124222123872052333362,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x5E03b07aE157EE1CA5BF2F3CBE5BC8dc38F3e965,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,70712982212835690000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x66991c98912A882E29e9603B6e1B4c129B34a264,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,214628479304886712790,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x66d0E180af64fb368679F91765Affc99174396AC,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,98201111270437710495,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x67e326eD4972650FbC9541b81A57dED004f3e4Ee,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,309592018667657879330,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x68FE88060ac8772d9ec7F40deb535c4873260F8A,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,2000000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x72b223De2F773C814465C4A8f2Ef9FaAe702Cfb3,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3709266477221969006850,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x73Cbc02516f5F4945cE2F2fACf002b2c6aA359e7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,291153351892587905053,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x76E0266c3C4d2766722A13db031714cB208C922d,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,14286405195931130338,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x775797e5CBA871DdF85496d96B201FFdecF83ea7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,51255159540136976015,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x7917d37a540c6d26ffeEbD2dA51875ecb2568eA8,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,107439786196512857852,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x79939118Ef2af99E20310eCC5CCC0E9697d390FC,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,4519901460587378073848,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x8061199A31983A077E691C08B2263a4CF5c24093,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,258046914457658421422,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,803294562576554769436,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x81aFcF6Dd79897cBa488471eCEc2f41BF3f7CA9B,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,14132959749199548630,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x8243A0cEdD065228d3FeBfF9733C9921832f398b,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,90345921997744398007,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x827E0f89aC23fEfb2ed69FB5bfAbeF9429888245,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1140006601874663274101,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3619410380251958511557,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x8413d8E665078D31bEB3dc13F9d1F004A3cBD25c,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1096685047320221451048,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x887C3599c4826F7b3cDe82003b894430F27d5b92,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,262311914811497068824,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x91bE5DaA3E9CaceA49E4695B9cc2f7De899B4707,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,113046697236028693632,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x95adAec801B3e8cb7aa90c6922E23dC987cA2bBf,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,85931352716962065385,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x964Ca78fA3ab137e5BA050DD2C3531B629374A39,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,98484005978432277472,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x999E3f0cB4D829B432BA63B0E50119bCFaf9e1b7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,11332736961235881159,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x9aDe42F4Ac329Ea6C37313c00366e6CCcba7B5AE,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,203818030119093732841,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0x9Fed225115A1374c7F0FaeF307D471c80fff1893,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1964168051692815048462,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xA0BB038A8981fC526FecF3fCEA8701312D932e86,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,2330354801717005959063,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,153226375000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xA742A54E0b9Cd1Cac03c8F569bA4C606694261f9,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,2622136834870727708497,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,91856805927117914445,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xAC9283ebcd0c41FAA7A5399Ad94acc444954b446,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1000000000000000398187,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xaD1A787a26Dd30B7A810417bbe96E32f12564D83,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,500000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xae8a85B6474543ae965930F0264421AB64Fd03f7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,100006378097412480974,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xaEFEFcB0cb43faD6A308A17c179DECd76d41873c,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,1000000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xB6C9e6A2415aB8d26335498BEAc8eeBED4BB2259,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,89391936436289366054,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xbe8B1778AedfD6600BB8C72A90e9EbCd9aA06822,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,277524429306675794117,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xc15c75955f49EC15A94E041624C227211810822D,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,803104048863906784113,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC3598d91844B061195136600AD243b077Cc164e2,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,6524767083848906004337,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC43D49a247923F1C7837c806a1eEaa1891387f75,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,850066299999999900000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xc4d6fdEA25346267441622FeB0e2618544Cef228,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,565288216268087706601,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC9B7F801541f88aE2F62C4C0eED29949D057c951,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,308690933210382946974,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xC9C03900134fa324422519852094792298c71825,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,46560733444345028577,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xcf4B7136D45DEDB13448ad189c2B7a041c84Cce2,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,3645471748378187899323,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xcfF7303b8E08403438c751bF21c04771252fA413,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,294444552594710336277,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xd18a54f89603Fe4301b29EF6a8ab11b9Ba24f139,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,10744005000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xd27d90b337717Fd91C4D409F712B890D4eE2FdD6,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,470000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xD2f96F8D1884CFD7F3e10611A86d9e932A235Ed3,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,372959985154899779449,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xD781F65cD90eE9418C70d1D244192C349Bf1176c,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,50000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xD84409d9593413Ca38A3B2b9A2Ba776E7C1EBCa1,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,41686679738629315192,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xDb8D484c46cE6B0bd00f38a51b299EB129928AC0,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,41241361466784400048,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xdC6b5549763D893b01A41aCF0D7d77CCb44f3417,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,4830897194098682441539,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xdC6CE98A9020905973C9C026c6f3e34df9998D8A,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,805297813806106080193,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xE26EDCA05417A65819295c49fC67272Ab247D791,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,527872578391592655038,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xe89dEe662C94FfEE76d0942f4a4bAD27cC076dd2,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,5230147240755659760,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xefE7a2bbe01adc090AB28eD422a359b553aAbC16,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,178500165046866581852,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xf5288cd6B213476A2E1cCF9506050043f7Ba30c7,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,26188767871875391709195,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xf677E155f96c448102d448F64B23aCEF8e74E4Ea,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,29958871295082561636,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xfB1D7F6c700A053683f80447B387A891D5f76aaC,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,145394365286561067019,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
0xfB8aA192dA69DD3DE22a9354EA99538315446c0D,0xc72fbD264b40D88E445bcf82663D63FF21e722AF,PRV,18,177030266266147570136,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0,active
